frame,hand_index,angle_thumb_pip,angle_thumb_dip,angle_index_pip,angle_index_dip,angle_middle_pip,angle_middle_dip,angle_ring_pip,angle_ring_dip,angle_pinky_pip,angle_pinky_dip,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky,thumb_y_rel_wrist,thumb_y_rel_index_mcp,thumb_dist_to_index_mcp,thumb_palm_dist,thumb_adduction_angle
42,0,177.1508641997395,172.1588324495966,175.4758875126402,176.6648516125412,175.8832388499832,178.58999008495937,177.71023288147276,176.5706120056137,175.7775160664377,176.17361409913806,0.3970523785882425,0.49805067480655757,0.5241935362874093,0.5315434051318214,0.10777484982515699,0.1734644149812819,0.30857275746578866,0.09375419932789245,0.2716787167133962,0.186667544762214,-0.23023420572280884,0.09516477584838867,0.19905330826801385,-0.11896485099559134,57.91375829894839
43,0,177.92483107709572,171.98132331733152,175.35005461065612,176.53935391630205,175.89905988864615,178.74630665861193,177.405246802187,176.79411174505975,175.58734017139082,176.29552588832829,0.40263685488963374,0.5010194506806651,0.5276623411808237,0.5365793797978639,0.1064844467724527,0.17118465932197963,0.30622093731550487,0.08905162920973721,0.2647820070754621,0.18409896749210697,-0.22669214010238647,0.09711158275604248,0.20611743414546022,-0.12068907528948461,58.669454240978304
44,0,178.5442852964012,171.87702619259528,175.44312307768678,177.00073184012524,175.82825230802678,178.52578381648726,177.4606404941961,176.7582810887048,175.8865894006405,176.23822731456775,0.40472566866344445,0.5035556782201909,0.5308595744162495,0.5399876968362829,0.10676612781675514,0.17161221320041745,0.3097196713944294,0.0891718566959687,0.2689213777053522,0.18864982543902137,-0.22399723529815674,0.09849345684051514,0.20805499172280534,-0.11933555253810263,59.086971538489685
45,0,179.25982100030484,173.18673842970983,175.3644800417793,176.8359055134861,175.76254711561603,178.38408992162522,177.0324182707355,176.27132283175257,175.6647144571147,175.96030562171856,0.40742616023375855,0.5072690073500499,0.5339806841568748,0.5403911841328933,0.1082449004094498,0.1738287722536419,0.3080710620954863,0.09035225768193646,0.26630089954969627,0.18466696865086474,-0.22090953588485718,0.10143923759460449,0.21029155015913803,-0.12301895177781083,58.77231897176345
46,0,179.04421761780043,173.3936566023101,175.49269055786309,176.8813026259172,175.80106245873927,178.45944125312093,177.30580162069643,176.1928811326155,175.62702689153804,175.8965804106375,0.40846642463170996,0.5102300897137559,0.5355562507447928,0.5416226069735444,0.10991224636841848,0.1744423782824366,0.30898336219975797,0.09075642931912928,0.2678967622935871,0.1854437924896122,-0.21588903665542603,0.10392528772354126,0.21024935175128331,-0.12363373912848408,59.39297423301294
47,0,178.93176814618957,172.74137177512299,175.49140833737658,176.84343870224185,175.89394375045327,178.48171653461162,177.4779994921408,176.18517530938954,175.58588084840704,175.90724020874595,0.4114818045841398,0.5124827664876734,0.537808610107716,0.5426930298337562,0.1090949778972692,0.1741667188267724,0.3078808136176577,0.09139222249477989,0.26740728625594706,0.18441456246971524,-0.21140217781066895,0.10641908645629883,0.21113954225670742,-0.12392071261564395,59.63979009293099
48,0,179.52175113579082,173.01889626873188,175.44424834907747,176.79731532904242,175.86684651263593,178.5528964021437,177.60221224674302,176.11957887101977,175.57497391995284,175.69969097737922,0.41207771085436756,0.5134544648981872,0.5392887503409125,0.5433841789909288,0.10953484330725795,0.17602654436381862,0.3087977246916532,0.09300946649451858,0.26813866391429153,0.1837698926797358,-0.21092092990875244,0.10741961002349854,0.2133948742426181,-0.1274854689035906,59.83824355929954
49,0,179.29941530453863,173.00805678465565,175.25162163979883,176.64327955209578,175.82112056698645,178.70179066630467,177.46521944928796,176.21251814513604,175.6766015342695,175.8387743315733,0.41433651639629643,0.5145276265091443,0.5411931876408744,0.5452629976332017,0.10867084858393916,0.17657304687792238,0.3088077652831568,0.0937905032001056,0.2673925735411962,0.18243684267290775,-0.20730870962142944,0.11065775156021118,0.21461978000516493,-0.12621608883907398,60.09938748722278
50,0,179.27514972794418,174.6783572964192,175.2054482030239,176.54041727711567,175.87303082500955,178.75093744262307,177.56620614552958,176.22787782390824,175.52092816888552,175.82254512027464,0.4135317734251887,0.515100730423882,0.5402500499262478,0.5450261784865045,0.10962869052782907,0.17649040741749633,0.30820767235115726,0.09450848110312339,0.26764790587230036,0.18124190544946805,-0.2098274827003479,0.11028116941452026,0.21457929778976895,-0.12762693230266486,59.14517699113607
51,0,179.25441529212725,174.75161003951132,175.1575524715352,176.59746555398831,175.81447270903837,178.5957297290868,177.58044829413103,176.0235271627664,175.55004854587133,175.6781303064918,0.4144962536227995,0.5168670570285088,0.54215464423579,0.5460700442628478,0.11074470656145712,0.1772820661553452,0.30947467624533703,0.09376537793837432,0.26824782083337406,0.18282347927713452,-0.2104184627532959,0.11107867956161499,0.21505315622922996,-0.1278145964375872,58.87663945017509
52,0,179.34245481037246,174.33143723776038,175.24833228961126,176.74484162182833,175.77889332457286,178.57717722864706,177.44800279138278,176.03233646158444,175.61005950535858,175.7272390617479,0.41379887140248667,0.5161511030209351,0.5418207328704202,0.54573614922469,0.1108612672627493,0.1778111830759236,0.3102549781518001,0.0938899743816408,0.2686756486889363,0.18332542946168856,-0.2108789086341858,0.11045646667480469,0.21385750339506737,-0.1256951477693188,58.955091252864506
53,0,179.0412257630348,172.91470755701076,175.41213986104398,177.09767016016903,175.8175786363453,178.50739323394586,177.73658860923015,176.16540041995003,175.56922873080362,176.24129541525545,0.41619273758057257,0.5153282984519322,0.5414528943797864,0.546237782085834,0.1067404886456498,0.17252801807180748,0.3061532094692834,0.09173504393966606,0.2669264139471878,0.18378587203885746,-0.2139277458190918,0.10869210958480835,0.2140591326289025,-0.12752433492539547,57.8507197117842
54,0,178.60945643381618,173.7445403412071,174.66729928375813,175.78417857370187,176.27090959818895,178.8263554388294,179.29692077059147,176.52830555448296,174.7448760623935,176.2707702097871,0.40701730363244953,0.5121900525817458,0.5414497476428586,0.5472324053575474,0.10566316592827128,0.15549665805239093,0.2757287672228148,0.09145060268110522,0.26735999377622666,0.1853000422369318,-0.218247652053833,0.09810793399810791,0.21724752567892838,-0.1344344010279907,57.93336995886021
55,0,177.17327259742768,174.10360690179326,173.251089934816,176.40648470231335,176.4566252283625,179.2021586109703,178.93288484052033,176.97546457222253,174.8126947179414,176.4351820632807,0.3734740839724219,0.514257366648008,0.5357395498574914,0.5420802198392894,0.14176912574928838,0.17200393199163239,0.26623435874028356,0.08926387701760584,0.2620323196509558,0.180027253239254,-0.21838253736495972,0.09835237264633179,0.21829769405780317,-0.1404418631235226,56.76238686817799
56,0,176.216961040093,175.229950292912,113.8376901367431,133.9719193535964,175.98563550544688,178.85235165953017,178.63885272923386,177.0121504091971,174.71844720523902,177.42027626726144,0.25355496693143376,0.5071843569617608,0.5313830079897103,0.5380734993627735,0.28001173385655087,0.2854493406230638,0.2921688307730974,0.08328850984917888,0.25793126291189605,0.18403676196684393,-0.22054743766784668,0.09420543909072876,0.21748688087872728,-0.15454993870897368,57.377874649133716
